model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
69,3,18,1.90612,4.920695,-0.278499,-4.952568,5.172353,0.620331
70,2,70,5.73913,-3.670305,-7.092538,-12.164049,7.228993,4.662356
70,2,30,3.614506,5.005006,-1.769063,9.74546,1.072928,4.078084
71,1,100,-2.620593,5.843857,3.029759,5.549365,-10.658223,-2.296024
72,2,42,5.889167,-0.722362,-8.134886,-20.462624,6.952761,8.624358
72,2,58,1.776562,7.904906,1.605452,9.842287,0.290911,2.726035
73,1,100,1.18519,6.759733,1.486238,10.938575,-5.990537,3.652385
74,2,85,3.747825,-0.599027,-0.970701,-13.353791,3.214719,3.270739
74,2,15,0.321605,6.277625,0.828794,3.949643,-6.528933,3.063099
75,1,100,3.048974,-3.061284,-3.45803,-13.757032,7.430065,0.740677
76,1,100,4.881309,1.08405,-2.315037,-13.336437,3.734128,8.856134
77,1,100,3.245645,-3.064404,-4.532281,-16.130863,6.173874,5.547386
78,1,100,-0.52241,6.211996,1.505028,2.537315,-5.730241,6.830802
79,2,33,1.832683,5.365942,1.82954,6.578604,-6.821884,-0.28565
79,2,67,3.535832,-0.877305,-4.793653,-18.264472,4.800664,5.838656
80,1,100,0.393287,6.613599,2.208529,9.113159,-4.596964,1.453344
81,2,35,-2.183876,4.491346,0.062313,10.965815,-5.489527,2.561576
81,2,65,1.457476,-0.65224,-5.079581,-11.263494,5.646002,6.571347
82,1,100,4.398633,-3.32632,-6.411832,-15.908174,7.039312,6.03412
83,3,61,4.228133,1.515457,-4.863991,-16.071118,7.043904,4.648206
83,3,30,1.425217,8.220862,-1.472813,-6.21635,3.344879,4.571047
83,3,9,1.425217,8.220862,-1.472813,5.231268,-1.692227,4.571047
84,4,31,-1.14507,7.905095,0.646076,-3.284257,2.821474,1.816432
84,4,40,2.619892,-3.029406,-9.066878,-20.892736,8.620618,6.923121
84,4,16,0.309679,2.654961,-4.638845,-15.432921,8.238347,6.922977
84,4,13,-1.14507,7.905095,0.646076,6.959941,0.388853,1.816432
85,2,74,5.031791,-2.898502,-11.005264,-20.799814,5.796733,8.87924
85,2,26,0.487624,6.843807,1.571,8.999512,-2.972694,2.383559
86,2,69,2.406935,4.712734,3.998363,8.019358,-3.50587,0.882676
86,2,31,4.015117,-2.033023,-6.18928,-15.861916,3.757153,6.368448
87,1,100,3.108013,3.644468,1.596084,7.8303,-5.989835,-1.215247
88,1,100,4.96133,-8.314956,-6.70848,-23.205796,6.02306,8.163646
89,1,100,1.635385,6.463999,0.537677,7.855121,-2.283638,2.965008
90,1,100,-1.286226,6.460649,5.640313,9.134303,-8.050686,-0.240306
91,2,72,-0.846369,6.986296,1.686939,8.08233,-8.205336,3.964436
91,2,28,3.166931,0.699594,0.202783,-10.083726,1.404978,5.897454
92,1,100,-1.000896,8.057444,2.285432,10.146703,-4.999034,-0.006509
93,2,89,2.990784,5.227198,2.324869,8.01295,-6.761916,-0.404179
93,2,11,4.810691,-0.610063,-5.220418,-15.735167,5.900983,5.677781
94,2,91,5.760617,-4.958535,-12.55352,-17.963944,5.901339,6.670701
94,2,9,1.124603,6.63573,0.997181,7.414219,-1.544937,1.626546
95,1,100,-0.571465,3.457139,-0.356449,8.712732,-2.219174,3.65288
96,2,54,4.060652,4.577655,0.914734,4.279722,-5.973396,2.763792
96,2,46,4.293477,-0.082593,-5.908757,-21.572443,5.743088,7.250401
97,2,40,2.933519,4.790049,1.774625,4.24714,-2.002403,0.992407
97,2,60,2.933519,4.790049,1.774625,-5.016842,4.134379,0.992407
98,1,100,0.751837,8.185896,1.114884,11.807229,-5.734101,4.494207
99,1,100,2.986772,4.366079,2.254856,8.913632,-7.059235,-0.503503
100,3,21,1.8267,3.211315,-2.34171,1.732907,-0.565076,6.056412
100,3,68,0.866171,5.325864,1.903347,10.246251,-10.247334,-0.208491
100,3,11,1.826701,3.211314,-2.341711,-5.513353,2.191131,6.056412
101,2,75,0.812202,6.281232,2.565628,8.620223,-4.541951,4.415352
101,2,25,4.861103,-4.384882,-5.359139,-21.928372,7.04796,6.591623
102,1,100,2.243888,-2.104865,-1.443242,1.954169,0.728377,3.117274
103,1,100,0.297344,7.284299,3.33558,10.2241,-13.500361,-0.38296
104,1,100,4.472546,-2.767341,-1.456733,-13.849555,4.287736,6.362084
105,1,100,3.987678,0.285136,-8.440972,-13.714362,7.594302,6.345349
106,1,100,0.919463,7.391535,4.462938,9.621493,-1.741936,2.963638
107,2,66,3.885731,-3.633889,-3.040104,-17.018631,8.558111,6.217815
107,2,34,1.707295,3.513977,1.673358,10.178836,-3.76789,1.458142
108,2,79,-1.037868,6.652692,1.315508,7.036065,-9.665682,3.971486
108,2,21,2.894266,1.743077,-5.723248,-16.225668,4.380256,7.859058
109,1,100,3.287071,-2.917741,-7.266876,-16.499842,5.17263,5.116282
110,1,100,3.664647,-6.054837,-10.450151,-15.650421,4.052347,7.541815
111,2,71,3.786249,-2.047582,-8.052835,-15.500672,7.715384,5.728199
111,2,29,1.35153,4.965373,-0.057768,6.778179,-9.032302,4.529898
112,1,100,5.806632,-3.158315,-3.570114,-19.188721,8.338774,7.338673
113,1,100,2.936962,4.134767,0.91048,9.324951,-6.055575,1.604649
114,1,100,-0.037841,7.153916,2.33209,8.917941,-6.638913,0.663462
115,1,100,4.404978,-0.989601,-7.626583,-26.571552,6.89085,7.678134
116,2,32,-1.392554,4.701682,-1.354939,6.901908,-1.001097,8.12771
116,2,68,-1.41165,5.504002,0.820197,11.654902,-2.437339,2.532702
117,2,89,3.925353,-3.595514,-1.475784,-6.819176,7.783556,4.316886
117,2,11,1.002563,5.077021,3.038149,10.666692,-9.941696,0.796237
118,2,27,0.916135,6.144187,1.612191,8.60051,-13.433335,3.392291
118,2,73,4.829144,-3.009581,-9.481499,-25.054696,4.523491,7.823276
119,2,62,2.039879,1.951394,-6.233464,-7.097267,4.351322,5.451756
119,2,38,-0.333835,5.578673,-0.066574,11.002471,-10.55131,3.832126
120,1,100,4.523742,-3.83846,-9.795382,-19.239855,5.722441,5.975612
121,1,100,4.541923,-1.257629,-12.738256,-26.469869,5.897298,6.532039
122,1,100,-0.955023,7.590768,3.508065,9.526323,-11.178034,1.076735
123,2,61,0.481994,8.701069,1.205031,-2.396016,6.686195,4.583071
123,2,39,0.481994,8.701069,1.205031,6.052197,1.58438,4.583071
124,2,66,0.163862,7.474597,0.642776,6.035945,-9.781405,3.836361
124,2,34,4.177932,2.725506,-3.418199,-11.996644,4.667745,4.888266
125,2,83,0.742293,7.357906,3.422719,10.5361,-4.645642,0.679002
125,2,17,3.878032,3.114453,-3.153986,-13.93563,6.400155,6.959503
126,2,72,-0.13067,1.287377,-6.180594,0.418765,-2.803218,6.799907
126,2,28,-0.13067,1.287375,-6.180597,-5.739949,-1.658418,6.799907
127,1,100,0.795681,6.91963,4.8546,8.436226,-9.674039,-2.250568
128,2,86,2.225984,6.431443,0.219917,8.645188,-0.412768,0.378377
128,2,14,4.076657,3.55131,-4.249622,-9.896117,7.331496,6.890732
129,1,100,0.934479,6.295478,0.999703,8.772038,-9.248649,2.265469
130,1,100,0.180299,6.097278,1.123003,9.653726,-12.079699,4.210821
131,2,92,2.705841,-6.600936,-7.72248,-8.768736,-0.789598,6.488652
131,2,8,-0.56255,5.231281,1.640304,11.491294,-13.768389,3.623763
132,2,64,-1.516128,9.116305,2.3459,9.239122,-15.496141,4.798389
132,2,36,3.00226,1.958338,-5.653998,-10.303276,1.980832,6.46306
133,1,100,1.055715,6.732131,1.434891,9.630869,-7.470158,0.608689
134,1,100,1.945823,4.873243,6.228014,8.043106,-3.163212,-1.662381
135,1,100,-2.23923,5.45257,0.356745,8.52961,-8.03741,1.809063
136,2,82,1.964806,7.633003,2.698221,9.332111,0.281454,0.992215
136,2,18,4.372597,0.03343,-5.648649,-7.375997,7.261687,6.155259
137,1,100,4.059258,-2.743159,-5.218401,-13.372801,6.154921,5.803736
138,1,100,3.922433,-0.12383,-0.324351,-9.311911,1.227945,0.562576
139,1,100,4.716943,-3.18301,-7.392762,-19.20835,5.037622,8.206035
140,1,100,4.313007,-6.467042,-7.785177,-13.215521,6.570466,5.354274
141,1,100,3.284038,-5.376603,-4.870779,-16.454089,6.247671,7.286665
142,2,71,-0.286184,4.818985,4.585731,9.23707,-4.579798,-0.595695
142,2,29,2.831367,-4.171149,-4.603824,-16.11684,4.908956,5.835237
143,1,100,4.071803,-5.425946,-2.686935,-15.929541,8.395656,1.473447
144,2,41,3.095465,-2.338576,-5.152598,-15.758269,5.344797,7.601393
144,2,59,2.982675,2.389303,-1.595574,-13.529959,5.308318,7.097284
145,2,51,1.495772,5.994017,0.995576,11.011179,-12.67582,1.337019
145,2,49,4.554675,-1.918358,-5.002953,-11.495146,3.755128,5.475406
146,2,15,2.514323,-0.373194,-4.178541,-13.702291,5.191205,5.153511
146,2,85,-3.143931,6.491563,1.481226,5.635058,-9.70136,-0.171068
147,1,100,4.837736,-4.421979,-3.944858,-16.052284,6.598737,5.928395
148,2,41,0.594976,6.551567,1.673209,8.286599,-5.517029,1.076389
148,2,59,4.097014,-3.138116,-2.456438,-17.876737,4.898112,6.300279
149,2,51,4.183476,-2.435549,-4.361148,-12.625094,8.869179,8.443523
149,2,49,-0.327874,5.186316,-1.027818,7.250809,-6.397263,8.331597
150,1,100,-2.454815,3.740285,1.334516,10.939827,-8.467083,0.103214
151,1,100,2.296071,5.762926,2.572161,9.960213,-6.531086,0.853667
152,1,100,6.707902,-6.099221,-8.673076,-21.335214,7.68542,7.211391
153,1,100,-0.393337,7.998043,0.175331,3.859436,-4.182334,8.331947
154,1,100,3.424325,-3.463818,-11.187735,-13.43664,6.146268,8.598777
155,2,54,0.743075,6.425901,0.172026,11.174502,-7.571393,4.043575
155,2,46,4.275028,-0.332751,-5.774296,-13.360976,6.210571,6.85549
156,1,100,4.223524,-5.982481,-7.196855,-16.149197,5.472038,5.533735
